InstituteNo,year, ,round_no,quota,pool,institute_short,program_name,program_duration,degree_short,category,opening_rank,closing_rank
16,2021,NIT,1,OS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,30948,31835
16,2021,NIT,1,HS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,90159,255995
16,2021,NIT,1,HS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,130510,253094
16,2021,NIT,1,OS,Gender-Neutral,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,18511,22159
16,2021,NIT,1,OS,Female-Only,NIT-Manipur,Computer Science and Engineering,4 Years,B.Tech,GEN,30948,31835
18,2021,NIT,1,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,99431,341464
18,2021,NIT,1,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,199199,257001
18,2021,NIT,1,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,9776,24041
18,2021,NIT,1,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,29423,29423
18,2021,NIT,1,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,99431,341464
18,2021,NIT,1,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,199199,257001
18,2021,NIT,1,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,9776,24041
18,2021,NIT,1,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,29423,29423
18,2021,NIT,1,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,99431,341464
18,2021,NIT,1,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,199199,257001
18,2021,NIT,1,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,9776,24041
18,2021,NIT,1,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,29423,29423
18,2021,NIT,1,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,99431,341464
18,2021,NIT,1,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,199199,257001
18,2021,NIT,1,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,9776,24041
18,2021,NIT,1,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,29423,29423
18,2021,NIT,1,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,99431,341464
18,2021,NIT,1,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,199199,257001
18,2021,NIT,1,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,9776,24041
18,2021,NIT,1,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,29423,29423
18,2021,NIT,1,HS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,99431,341464
18,2021,NIT,1,HS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,199199,257001
18,2021,NIT,1,OS,Gender-Neutral,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,9776,24041
18,2021,NIT,1,OS,Female-Only,NIT-Mizoram,Computer Science and Engineering,4 Years,B.Tech,GEN,29423,29423
24,2021,NIT,1,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1874,8255
24,2021,NIT,1,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2023,8437
24,2021,NIT,1,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,861,2033
24,2021,NIT,1,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1619,3081
24,2021,NIT,1,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1874,8255
24,2021,NIT,1,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2023,8437
24,2021,NIT,1,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,861,2033
24,2021,NIT,1,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1619,3081
24,2021,NIT,1,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1874,8255
24,2021,NIT,1,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2023,8437
24,2021,NIT,1,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,861,2033
24,2021,NIT,1,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1619,3081
24,2021,NIT,1,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1874,8255
24,2021,NIT,1,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2023,8437
24,2021,NIT,1,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,861,2033
24,2021,NIT,1,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1619,3081
24,2021,NIT,1,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1874,8255
24,2021,NIT,1,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2023,8437
24,2021,NIT,1,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,861,2033
24,2021,NIT,1,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1619,3081
24,2021,NIT,1,HS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1874,8255
24,2021,NIT,1,HS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,2023,8437
24,2021,NIT,1,OS,Gender-Neutral,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,861,2033
24,2021,NIT,1,OS,Female-Only,NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,GEN,1619,3081
26,2021,NIT,1,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,7291,23307
26,2021,NIT,1,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,10598,21819
26,2021,NIT,1,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5464,10134
26,2021,NIT,1,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,13732,15557
26,2021,NIT,1,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,7291,23307
26,2021,NIT,1,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,10598,21819
26,2021,NIT,1,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5464,10134
26,2021,NIT,1,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,13732,15557
26,2021,NIT,1,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,7291,23307
26,2021,NIT,1,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,10598,21819
26,2021,NIT,1,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5464,10134
26,2021,NIT,1,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,13732,15557
26,2021,NIT,1,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,7291,23307
26,2021,NIT,1,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,10598,21819
26,2021,NIT,1,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5464,10134
26,2021,NIT,1,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,13732,15557
26,2021,NIT,1,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,7291,23307
26,2021,NIT,1,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,10598,21819
26,2021,NIT,1,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5464,10134
26,2021,NIT,1,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,13732,15557
26,2021,NIT,1,HS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,7291,23307
26,2021,NIT,1,HS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,10598,21819
26,2021,NIT,1,OS,Gender-Neutral,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,5464,10134
26,2021,NIT,1,OS,Female-Only,NIT-Silchar,Computer Science and Engineering,4 Years,B.Tech,GEN,13732,15557
27,2021,NIT,1,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,1640,22078
27,2021,NIT,1,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,15309,40998
27,2021,NIT,1,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,1640,22078
27,2021,NIT,1,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,15309,40998
27,2021,NIT,1,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,1640,22078
27,2021,NIT,1,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,15309,40998
27,2021,NIT,1,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,1640,22078
27,2021,NIT,1,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,15309,40998
27,2021,NIT,1,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,1640,22078
27,2021,NIT,1,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,15309,40998
27,2021,NIT,1,JK,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,1640,22078
27,2021,NIT,1,JK,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,15309,40998
27,2021,NIT,1,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,121794,130501
27,2021,NIT,1,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,8851,19669
27,2021,NIT,1,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,20553,25231
27,2021,NIT,1,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,121794,130501
27,2021,NIT,1,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,8851,19669
27,2021,NIT,1,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,20553,25231
27,2021,NIT,1,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,121794,130501
27,2021,NIT,1,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,8851,19669
27,2021,NIT,1,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,20553,25231
27,2021,NIT,1,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,121794,130501
27,2021,NIT,1,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,8851,19669
27,2021,NIT,1,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,20553,25231
27,2021,NIT,1,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,121794,130501
27,2021,NIT,1,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,8851,19669
27,2021,NIT,1,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,20553,25231
27,2021,NIT,1,LA,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,121794,130501
27,2021,NIT,1,OS,Gender-Neutral,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,8851,19669
27,2021,NIT,1,OS,Female-Only,NIT-Srinagar,Computer Science and Engineering,4 Years,B.Tech,GEN,20553,25231
28,2016,NIT,6,HS,Gender-Neutral,NIT-Surat,Computer Engineering,4 Years,B.Tech,GEN,763,5844
28,2016,NIT,6,OS,Gender-Neutral,NIT-Surat,Computer Engineering,4 Years,B.Tech,GEN,1825,5268
